Unique_Speaker,Sex,Location,Agreeableness,Conscientiousness,Extraversion,Neuroticism,Openness,numerical_Agreeableness,numerical_Conscientiousness,numerical_Extraversion,numerical_Neuroticism,numerical_Openness
73,F,Glasgow,low,high,high,high,high,44.0,63.0,65.5,45.0,60.0
73,F,Glasgow,low,high,high,low,high,50.5,66.5,59.0,38.0,54.0
74,M,Glasgow,high,high,high,low,high,58.5,70.5,65.0,34.0,63.5
74,M,Glasgow,high,high,high,low,high,55.0,62.5,62.0,30.5,60.5
74,M,Glasgow,low,high,high,low,high,52.0,67.5,55.0,32.5,57.5
75,F,Glasgow,high,low,low,high,low,63.5,42.0,44.0,56.5,46.0
75,F,Glasgow,low,low,low,high,low,44.5,39.0,37.0,49.5,49.0
75,F,Glasgow,low,low,low,high,low,40.0,43.5,39.5,56.0,44.5
76,M,Glasgow,high,high,low,high,high,55.0,63.5,31.0,42.5,60.0
76,M,Glasgow,low,high,high,low,high,45.5,56.5,56.0,25.5,57.5
76,M,Glasgow,low,low,high,low,high,34.5,44.0,64.5,34.0,57.5
77,F,Glasgow,high,high,high,low,low,70.5,57.5,52.5,23.0,47.5
77,F,Glasgow,high,high,high,low,high,59.5,72.0,60.0,20.0,62.0
77,F,Glasgow,high,high,low,low,high,64.0,58.0,51.0,38.0,56.5
78,M,Glasgow,low,high,high,low,low,48.5,69.0,52.0,32.5,40.0
78,M,Glasgow,low,high,high,low,high,44.0,64.5,66.5,22.5,57.0
78,M,Glasgow,low,high,high,low,high,46.5,61.0,64.0,22.0,63.5
79,F,Glasgow,high,low,low,low,low,57.5,52.0,43.0,36.5,41.5
79,F,Glasgow,low,high,low,low,low,51.0,57.0,42.0,37.5,46.5
79,F,Glasgow,low,high,high,high,low,34.0,56.0,53.5,46.0,39.5
80,M,Glasgow,low,low,high,high,low,25.5,24.5,66.0,48.0,34.0
80,M,Glasgow,low,low,high,high,low,42.0,49.5,59.5,46.5,35.5
80,M,Glasgow,low,low,low,low,low,41.0,45.0,50.5,30.5,39.5
81,F,Glasgow,high,low,low,high,high,63.0,45.0,41.0,63.5,60.5
81,F,Glasgow,high,high,low,low,high,66.0,57.5,38.0,37.5,64.5
81,F,Glasgow,high,high,high,low,high,64.5,63.0,56.0,32.0,63.0
82,M,Glasgow,high,low,low,high,low,56.0,53.0,37.5,48.0,46.0
82,M,Glasgow,high,high,low,low,high,59.5,57.5,34.5,39.5,56.5
82,M,Glasgow,high,high,low,high,high,58.0,60.0,43.0,49.5,57.5
83,F,Glasgow,high,high,high,low,low,65.0,60.0,59.0,34.0,52.0
83,F,Glasgow,high,high,high,low,high,56.0,60.5,61.0,36.5,56.5
83,F,Glasgow,low,high,high,low,low,48.0,66.5,56.0,29.5,52.5
84,M,Glasgow,low,low,low,high,low,46.0,36.0,26.0,56.5,32.0
84,M,Glasgow,high,low,low,high,low,58.5,42.5,37.0,48.5,33.0
84,M,Glasgow,low,low,low,high,low,46.0,47.5,35.5,42.0,39.5
85,F,Glasgow,high,high,high,low,high,62.5,57.0,56.0,27.5,63.5
85,F,Glasgow,high,high,high,low,high,64.5,59.0,57.5,29.0,61.5
85,F,Glasgow,low,low,low,low,high,52.5,52.5,49.0,29.0,55.0
86,M,Glasgow,high,low,low,low,high,53.0,52.5,39.0,24.5,58.0
86,M,Glasgow,low,low,low,high,low,50.0,47.5,37.5,45.5,45.5
86,M,Glasgow,low,high,high,low,high,49.5,68.0,74.5,21.0,76.5
87,F,Glasgow,high,low,high,low,low,59.5,54.0,59.0,36.5,47.0
87,F,Glasgow,low,high,high,low,low,51.0,57.0,60.0,34.5,50.0
87,F,Glasgow,low,high,high,high,low,40.0,57.5,56.5,49.0,42.0
88,M,Glasgow,low,low,low,high,low,45.0,39.5,32.0,64.0,36.0
88,M,Glasgow,high,low,low,low,low,55.5,52.5,35.5,30.0,45.0
88,M,Glasgow,low,low,low,high,low,48.0,47.0,40.5,50.0,39.5
89,F,Glasgow,low,low,low,low,high,46.5,39.5,30.0,35.5,55.0
89,F,Glasgow,high,low,low,high,low,54.5,38.0,28.5,63.0,41.0
89,F,Glasgow,low,low,low,high,low,34.0,50.5,40.5,46.5,37.0
90,M,Glasgow,low,low,high,high,low,51.0,30.0,52.0,58.5,47.0
90,M,Glasgow,low,high,high,high,low,36.5,56.0,57.5,42.0,44.5
90,M,Glasgow,low,high,high,high,low,31.5,64.5,61.5,43.0,52.5
91,F,Glasgow,high,high,high,high,high,64.5,57.5,58.0,44.0,65.0
91,F,Glasgow,low,low,high,high,high,47.0,53.0,61.0,49.0,55.5
91,F,Glasgow,low,high,high,high,low,35.0,58.0,64.0,48.5,45.0
92,M,Glasgow,high,high,high,low,high,62.0,65.0,62.0,29.5,55.0
92,M,Glasgow,low,high,high,low,high,50.5,56.0,62.5,40.5,59.0
92,M,Glasgow,high,high,high,low,high,60.0,67.0,62.5,32.5,55.5
93,F,Glasgow,high,high,low,low,high,68.5,56.5,37.0,32.0,70.0
93,F,Glasgow,low,high,low,low,high,51.5,59.5,50.5,31.5,64.5
